Model,Accuracy,ROC_AUC,Precision,Recall,F1_Score,Balanced_Accuracy
Logistic Regression,0.59358,0.6318110557214764,0.25032617987132766,0.6033398395142051,0.3538427294985532,0.5973563192862604
Decision Tree,0.61513,0.651491877580921,0.2623603898413602,0.5998698763825634,0.36505815392229646,0.6092254870166287
Random Forest,0.68423,0.669575938451999,0.29630548748332664,0.5178919973975277,0.3769459955407352,0.6198697811304672
Extra Trees,0.61925,0.6631981165607825,0.2670685113552766,0.6101713294296248,0.3715233646402456,0.6157372415454564
AdaBoost,0.81555,0.6434246223493711,0.3333333333333333,5.421817393190197e-05,0.00010841871306987586,0.5000148475734048
HistGradientBoosting,0.62901,0.6763469876947376,0.27566800548353737,0.6214487096074605,0.38192026389883876,0.626084352841888
XGBoost,0.67134,0.6801835331191539,0.2946286169970381,0.5608870093255259,0.3863245948166405,0.6286030514772217
